id,name,follower_count,engagement_rate,platform_specialty_platforms,platform_specialty_fields
Q87578,Wolfgang Hahn,,,,
Q87580,Robert Kienböck,,,,
Q87588,Max Freiherr von Waldberg,,,,
Q87599,Joseph Barth,,,,"surgery, anatomy, ophthalmology"
Q87603,Hans Bobek,,,,
Q87607,Wolfgang Sauseng,,,,
Q87616,Peter Balazs,,,,mathematics
Q87619,Wilhelm Brambach,,,,
Q87620,Luca Pacioli,,,,"theology, mathematics, Franciscan spirituality"
Q87624,Ulrich Schindel,,,,
Q87626,Wilhelm Sihler,,,,
Q87627,Norbert Leser,,,,
Q87636,Simon Grynaeus,,,,
Q87644,Gustav Droysen,,,,
Q87645,Alfred Gürtler,,,,
Q87646,Salomo Glassius,,,,
Q87658,Heinz-Günther Nesselrath,,,,classical philology
Q87662,Victorinus Strigel,,,,
Q87672,Otto Keller,,,,
Q87687,Hermann Ignaz Bidermann,,,,
Q87689,Anton Horner,,,,
Q87698,Friedrich Leitner,,,,"economics, enterprise economy"
Q87707,Johannes Knoblauch,,,,"coin, curve, differential geometry, algebra, medallion, surface, group theory, mathematics, function, numismatics"
Q87710,August Sauer,,,,"German-language literature, literature, history of music, history"
Q87712,Gottfried von Freiberg,,,,"music, music education"
Q87721,Reinhard Rieger,,,,zoology
Q87722,Peter Oliver Loew,,,,
Q87731,Otto Höfler,,,,history
Q87737,Leopold Gegenbauer,,,,mathematics
Q87738,Carl August Wilhelm Berends,,,,
Q87742,Günther Krause,,,,
Q87743,Franz Martin Schindler,,,,
Q87746,Conrad Cichorius,,,,"Catullus, Gaius Lucilius, Trajan's Column, Panaetius, Dacia, ancient history"
Q87747,Gotthold Hasenhüttl,,,,
Q87751,Karl Vocelka,,,,
Q87756,Martin Spahn,,,,
Q87757,Karl Weinbrenner,,,,
Q87759,Johann Rihosek,,,,
Q87763,Konrad Paul Liessmann,,,,
Q87767,Inocenc Arnošt Bláha,,,,
Q87784,Günter Stemberger,,,,
Q87802,Carlo Schäfer,,,,
Q87806,Hans Schwerte,,,,literary studies
Q87808,Hans Schleif,,,,architecture
Q87809,Friedrich Kurrent,,,,architecture
Q87812,Gustav Schmidt,,,,
Q87820,Adolph Lowe,,,,economics
Q87823,Ille Gebeshuber,,,,physicist
Q87824,Christian Heinrich Pfaff,,,,
Q87826,Hans Reck,,,,
Q87827,Adolf Krischanitz,,,,
Q87828,Gregor Kraus,,,,
Q87832,Heinrich Besseler,,,,
Q87833,Otto Walter,,,,
Q87835,Heinz Oberhummer,,,,
Q87836,Friedrich Gumpert,,,,
Q87841,Christian Feest,,,,"anthropology, ethnology"
Q87844,Heinrich Rückert,,,,"Middle Ages, German, German studies, history"
Q87864,Reinhard Süring,,,,meteorology
Q87865,Meinhard von Pfaundler,,,,
Q87867,Karl Schlögl,,,,
Q87868,Bruno Weil,,,,
Q87871,Anton Amann,,,,"chemistry, physics"
Q87879,Paul Funk,,,,"calculus of variations, mathematics, geometry"
Q87881,Franz Kossmat,,,,"mineralogy, geology"
Q87884,Julius Fröbel,,,,
Q87888,Maximilian Schwedler,,,,
Q87890,Wilhelm Heitmüller,,,,"theology, Protestant theology"
Q87896,Helmut Landsberg,,,,"air pollution, climatology, meteorology"
Q87897,Hellmut Federhofer,,,,
Q87900,Johannes Justus Rein,,,,botany
