id,name,agency,fashion_weeks,campaigns
Q10349692,Pietra Ferrari,,,
Q10350869,Polliana Aleixo,,,
Q10354024,Priscila Maria Furlan,,,
Q10354027,Priscila Riker,,,
Q10355637,Pâmela Bório,,,
Q10357499,Raquel Galvão,,,
Q10357502,Raquel Henriques,,,
Q10357503,Raquel Jacob,,,
Q10357687,Rayana Carvalho,,,
Q10357690,Rayanne Morais,,,
Q10359027,Rejane Goulart,,,
Q10359265,Renata Bessa,,,
Q10359286,Renata Maciel,,,
Q10359293,Renata Sayuri,,,
Q10359295,Renata Sozzi,,,
Q10360309,Rhaisa Batista,,,
Q10361112,Ricardo Câmara,,,
Q10361249,Ricardo Zambelli,,,
Q10361322,Ricky Tavares,,,
Q10363043,Rita Lopes,,,
Q10363524,Rocco Pitanga,,,
Q10364115,Rogê da Fonseca,,,
Q10364599,Rose di Primo,,,
Q10364626,Rosiane Pinheiro,,,
Q10364627,Roshumba Williams,,,
Q10365419,Rute Marques,,,
Q10322985,Mafalda Matos,,,
Q10322987,Mafalda Roxo,,,
Q10323016,Magda Cotrofe,,,
Q10323019,Magda Pfrimer,,,
Q10323204,Maisa Silva,,,
Q10324864,Mara Hüsemann,,,
Q10324996,Marcela Temer,,,
Q10324997,Marcelia Freesz,,,
Q10325031,Marcello Melo,,,
Q10325284,Marco Antônio Gimenez,,,
Q10325324,Marco Costa,,,
Q10325482,Marcos Pitombo,,,
Q10325656,Mari Alexandre,,,
Q10325744,Maria Bernadete Heemann,,,
Q10325772,Maria Carolina Portella,,,
Q10325790,Maria Cláudia,,,
Q10325849,Maria Eugênia Villarta,,,
Q10325903,Maria Isabel Avelar,,,
Q10325909,Maria Joana Parizotto,,,
Q10325921,Maria José Cardoso,,,
Q10326002,Maria Lúcia Alexandrino dos Santos,,,
Q10326038,Maria Olívia Rebouças Cavalcanti,,,
Q10326060,Maria Raquel de Andrade,,,
Q10326082,Maria Stella Splendore,,,
Q10326170,Maria de Vasconcelos,,,
Q10326212,Mariana Bittencourt,,,
Q10326238,Mariana Monteiro,,,
Q10326240,Mariana Notarângelo,,,
Q10326243,Mariana Pacheco,,,
Q10326386,Marina Albuquerque,,,
Q10326392,Marina Dias,,,
Q10326393,Marina Elali,,,
Q10326422,Marinalva de Almeida,,,
Q10326425,Marinara Costa,,,
Q10326507,Marisa Fully Coelho,,,
Q10326530,Maristane Dresch,,,
Q10326533,Maristela Grazzia,,,
Q10326554,Mariza Sommer,,,
Q10326564,Marjorie Andrade,,,
Q10326645,Marlucci Manvailler Rocha,,,
Q10326798,Marta Jussara da Costa,,,
Q10326833,Martha Streck,,,
Q10327049,Maryeva Oliveira,,,
Q10327331,Mateus Carrieri,,,
Q10327834,Mayana Neiva,,,
Q10329500,Michella Marchi,,,
Q10330018,Milena Lira,,,
Q10330630,Mirella Santos,,,
Q10334257,Márcia Gabrielle,,,
Q10334437,Mário Gomes,,,
