id,name,net_worth,companies
Q46000,Thomas Watson,,"IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange"
Q46423,Jim Fitzgerald,,National Basketball Association
Q46459,Umut Shayakhmetova,,
Q47899,Paris Hilton,,
Q48259,Dick Cheney,,
Q49214,Dan Quayle,,
Q49279,Tam O'Shaughnessy,,Sally Ride Science
Q49282,Dorothée Pullinger,,Arrol-Johnston
Q49631,David Alward,,
Q49819,Charles Simonyi,,"Microsoft - Nasdaq, Microsoft - Nasdaq, Microsoft - Nasdaq, Microsoft - Nasdaq, Microsoft - Hong Kong Exchanges And Clearing Ltd, Microsoft - Hong Kong Exchanges And Clearing Ltd, Microsoft - Hong Kong Exchanges And Clearing Ltd, Microsoft - Hong Kong Exchanges And Clearing Ltd"
Q49826,Andrew Rubin,,"Google - Nasdaq, Google - Nasdaq, Google - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Danger, Inc."
Q49971,Ginni Rometty,,"IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange"
Q50655,Hermann Brunner,,
Q50893,Paul Elvstrøm,,
Q51005,John Kufuor,,
Q51101,Jolin Tsai,63509820 USD (2014-12-01T00:00:00Z),
Q51749,Ursula Sladek,,
Q51775,Harriet Williams Russell Strong,,
Q51799,Lando Calrissian,,
Q51814,Dale Dye,,
Q52385,Harri Roschier,,
Q53294,Arvid Lindman,,
Q53944,Rupert Murdoch,"7170000000 USD (2019-05-28T00:00:00Z), 19400000000 USD (2019-01-01T00:00:00Z)",
Q55173,Padmasree Warrior,,"Cisco - Nasdaq, Cisco - Nasdaq, Cisco - Nasdaq, Cisco - Hong Kong Exchanges And Clearing Ltd, Cisco - Hong Kong Exchanges And Clearing Ltd, Cisco - Hong Kong Exchanges And Clearing Ltd, Motorola, Motorola, Motorola, Gap Inc. - New York Stock Exchange, Gap Inc. - New York Stock Exchange, Gap Inc. - New York Stock Exchange, Gap Inc. - New York Stock Exchange, Corning Inc. - New York Stock Exchange, Corning Inc. - New York Stock Exchange, Corning Inc. - New York Stock Exchange"
Q55183,Susan Wojcicki,,"Google - Nasdaq, Google - Nasdaq, Google - Nasdaq"
Q55205,Andrea Wong,,
Q55637,José María Aznar,,"News Corp - Nasdaq, News Corp - Nasdaq, News Corp - Nasdaq, News Corp - Australian Securities Exchange, News Corp - Australian Securities Exchange, News Corp - Australian Securities Exchange"
Q55704,Kedar Joshi,,"Cambridge Network, St John's Innovation Centre"
Q55800,Oprah Winfrey,,"Harpo Productions, Harpo Productions"
Q56094,Francis Ford Coppola,,
Q56868,Petar Matić,,
Q57106,Heinrich Schliemann,,
Q57640,Andrus Ansip,,
Q57655,Mohammed bin Rashid Al Maktoum,,
Q57657,Raila A Odinga,,
Q57670,Yingluck Shinawatra,,Advanced Info Service - Stock Exchange of Thailand
Q57794,Bidzina Ivanishvili,1020000 Q4608 (2023-01-01T00:00:00Z),
Q58077,Petro Poroshenko,1600000000 USD (2021-01-01T00:00:00Z),
Q58293,Alfredo Moreno,,
Q58728,Christen Christensen,,
Q59185,Busta Rhymes,,
Q59215,Robert Redford,,"Warner Bros., Warner Bros."
Q59474,Bjørn Kjos,,Norwegian Air Shuttle - Oslo Stock Exchange
Q60029,Oskar Schindler,,
Q60543,Kim Dotcom,,
Q60805,Rinat Akhmetov,6591000000 USD (2023-01-01T00:00:00Z),
Q60847,Ludwig Mond,,
Q60970,Sakis Rouvas,,
Q61108,"Alfred A. Knopf, Sr.",,
Q62377,Carl Wilhelm Siemens,,
Q62385,"Duke Carl, Duke of Württemberg",,
Q62766,Jay-Z,1000000000 USD (2019-01-01T00:00:00Z),
Q62886,Peter Norton,,
Q62890,Gene Amdahl,,"IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange"
Q62910,Carver Mead,,National Academy of Sciences
Q62988,W. Michael Blumenthal,,
Q63030,Friedrich Krupp,,
Q63708,Ellsworth Bunker,,
Q63791,Max Cahner,,
Q63888,Friedrich Flick,,
Q64050,Zeev Suraski,,"Zend Technologies, Zend Technologies"
Q64088,Michael Spindler,,"Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange"
Q64662,Francis Mer,,Usinor
Q64718,Victor Hasselblad,,"Hasselblad, Hasselblad, Hasselblad"
Q65299,Heinrich Thyssen,,
Q65344,Andy Bechtolsheim,6600000000 USD (2018-01-01T00:00:00Z),
Q65445,Dieter Zetsche,377000669 Q4916,"Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Daimler-Benz AG - Tokyo Stock Exchange, Daimler-Benz AG - Tokyo Stock Exchange, Daimler-Benz AG - Tokyo Stock Exchange, TUI Group - Frankfurt Stock Exchange, TUI Group - Frankfurt Stock Exchange, TUI Group - Frankfurt Stock Exchange, RWE Power, RWE Power"
Q66107,Henry Kissinger,,
Q66329,Josef Scheungraber,,
Q66703,"Johannes, 11th Prince of Thurn and Taxis",,
Q67331,Otto Staudinger,,
Q68310,Frédéric Prinz von Anhalt,,
Q68857,Ernst Degner,,
Q69319,John Kasich,,
Q92992,Joshua Bloch,,"Google - Nasdaq, Google - Nasdaq, Google - Nasdaq"
Q92993,Jeff Hawkins,,
Q93014,Max Levchin,,"Google - Nasdaq, Google - Nasdaq, Google - Nasdaq"
Q93028,Charles E. Leiserson,,
Q93144,Mark Spencer,,
Q94765,James Wilson,,
Q95160,Stanley Unwin,,
Q95171,Corinna Schumacher,,
Q95987,Anna Margareta von Haugwitz,,
Q96249,Carl-Peter Forster,,
Q96457,Hans-Werner Aufrecht,,
Q96522,Salman Schocken,,
Q96770,Heinrich von Pierer,,
Q96780,Charles Fey,,
Q97002,Wolfgang Porsche,,
Q97087,Carl Hahn,,
Q97272,Heinrich Gattineau,,IG Farben
Q97429,Michalis Christoforakos,,
Q97438,Eberhard von Brauchitsch,,
Q97767,Carl Hecker,,
Q97774,Ulrich Cartellieri,,
Q97782,Joseph Jonas,,
Q98228,Michael Herz,,
Q98236,Karl Heine,,
Q98251,Hartmut Esslinger,,"Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange"
Q98319,Stefan Arndt,,
Q98330,Florian Homm,,
Q98391,Freya Hoffmeister,,
Q98401,Ulf Mark Schneider,,
Q98415,Rainer Hertrich,,"Airbus SE - Frankfurt Stock Exchange, Airbus SE - Frankfurt Stock Exchange, Airbus SE - Frankfurt Stock Exchange, Airbus SE - Frankfurt Stock Exchange, Airbus SE - Madrid Stock Exchange, Airbus SE - Madrid Stock Exchange, Airbus SE - Madrid Stock Exchange, Airbus SE - Madrid Stock Exchange, Airbus SE - Euronext Paris, Airbus SE - Euronext Paris, Airbus SE - Euronext Paris, Airbus SE - Euronext Paris"
Q98437,Rolf Eden,,
Q98528,Henry Bolckow,,
Q98670,Günter Herlitz,,
Q99273,Thomas-Bernd Quaas,,
Q99314,Kemal Şahin,,
Q100518,Wilhelm Rudolf Mann,,
Q100662,Riccardo Cassin,,
Q101174,Joachim Zahn,,"Daimler-Benz AG - Tokyo Stock Exchange, Daimler-Benz AG - Tokyo Stock Exchange, Daimler-Benz AG - Tokyo Stock Exchange"
Q101204,Erwin Conradi,,
Q101446,Johanna von Schaffgotsch,,
Q101610,Fritz Kranefuss,,
Q101638,Mary Wollstonecraft,,
Q101755,August François von Finck,,
Q102206,Otto-Ernst Flick,,
Q103215,Wolfgang Bernhard,,"Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange"
Q103337,Dieter König,,
Q103647,Erivan Haub,,
Q103664,Vladimir Kagan,,
Q103848,Philipp Humm,,
Q104127,Douglas Fairbanks,,
Q104161,Harry Warner,,
Q104574,Max Kade,,
Q104629,Alex Hannig,,
Q104636,Carl Herlitz,,
Q104859,Michael Collins,,
Q105659,Johann-Joseph Krug,,
Q105910,Wilhelm Zangen,,
Q105926,Ingeburg Herz,,
Q106005,Hossein Sabet,,
Q106062,Dominik Brunner,,"Erlus, Erlus"
Q106093,Klaus Schnellenkamp,,
Q106340,Bertolt Flick,,
Q106381,Dejan Ilic,,
Q106508,Gérard Depardieu,,
Q106586,Max Heinhold,,
Q106666,Helene Amalie Krupp,,
Q106959,Wilhelm von Carstenn,,
Q107037,Leymah Roberta Gbowee,,
Q107502,Thomas Dachser,,
Q107649,Christian Becker,,
Q107770,J. Henry Schroder,,
Q107797,Mathias Döpfner,,
Q107957,Alexander Haig,,
Q108643,Gerhard Maywald,,
Q108783,Claus Wellenreuther,,
Q108903,Michael Braun,,
Q109080,Joseph Pschorr,,
Q109468,Margarethe Krupp,,
Q109677,Christoph Mohn,,
Q109774,William Thomas Mulvany,,
Q109829,Horst Brandstätter,,
Q109853,Thomas Middelhoff,,"Bertelsmann, Investcorp"
Q110269,Peter Unger,,
Q110419,Frederick Miller,,
Q110428,Rüdiger Grube,,"Deutsche Bahn, Deutsche Bahn, Deutsche Bahn, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Frankfurt Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, Mercedes-Benz Group - Italian Stock Exchange, DASA, DASA, Messerschmitt-Bölkow-Blohm"
Q110450,Wally Schirra,,
Q111046,Carl Berg,,
Q111392,Sylvia Ströher,,
Q111574,"Paul Deighton, Baron Deighton",,
Q111771,Walter Rohland,,
Q111980,Banhan Sinlapa-acha,,
Q112284,Charles Duke,,
Q112534,Ed Zschau,,"IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange, IBM - New York Stock Exchange"
Q112763,Manfred Gerstenfeld,,
Q112827,Johann Cesar VI. Godeffroy,,J.C. Godeffroy & son
Q112863,Johann Christoph Fugger,,
Q113007,Hubertus von Hohenlohe,,
Q113107,Emil Heinrich Meyer,,
Q113381,Gottlob Kralik,,
Q113492,Caprice Bourret,,
Q92992,Joshua Bloch,,"Google - Nasdaq, Google - Nasdaq, Google - Nasdaq"
Q92993,Jeff Hawkins,,
Q93014,Max Levchin,,"Google - Nasdaq, Google - Nasdaq, Google - Nasdaq"
Q93028,Charles E. Leiserson,,
Q93144,Mark Spencer,,
Q94765,James Wilson,,
Q95160,Stanley Unwin,,
Q95171,Corinna Schumacher,,
Q95987,Anna Margareta von Haugwitz,,
Q96249,Carl-Peter Forster,,
Q96457,Hans-Werner Aufrecht,,
Q96522,Salman Schocken,,
Q96770,Heinrich von Pierer,,
Q96780,Charles Fey,,
Q97002,Wolfgang Porsche,,
Q97087,Carl Hahn,,
Q97272,Heinrich Gattineau,,IG Farben
Q97429,Michalis Christoforakos,,
Q97438,Eberhard von Brauchitsch,,
Q97767,Carl Hecker,,
Q97774,Ulrich Cartellieri,,
Q97782,Joseph Jonas,,
Q98228,Michael Herz,,
Q98236,Karl Heine,,
Q98251,Hartmut Esslinger,,"Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Nasdaq, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange, Apple - Tokyo Stock Exchange"
