id,name,mediums,styles,galleries_exhibits
Q159409,Louise Bourgeois,"monotyping, natural rubber, paper embossing, metal, water, book, pencil, stainless steel, cloth, cotton, cardboard, glass, paper, ink, charcoal, aquatint, marble, aluminum, granite, fax, plaster, drypoint technique, colored pencil, wood, cedar wood, bronze, canvas, oil paint, watercolor paint, screen printing","abstract expressionism, feminist art, modernism, contemporary art, abject art, surrealism","Kröller-Müller Museum, Crystal Bridges Museum of American Art, Metropolitan Museum of Art, Tate Modern, Museum of Modern Art, National Museum of Modern Art, National Gallery of Art Sculpture Garden, National Gallery of Art, Guggenheim Museum, Mobilier National Collection, Maison de Balzac, National Gallery of Canada, Smithsonian American Art Museum, Mu.ZEE - Kunstmuseum aan Zee, National Galleries Scotland, Wallonia-Brussels Federation Museum of Contemporary Arts, Sculptures in the National Gallery of Art"
Q159416,Naser al-Din Shah Qajar,,,Nasser D. Khalili Collection of Islamic Art
Q159465,Richard Hamilton,"Screen Printing Ink, photography, panel, photograph, cloth, collaging, canvas, oil paint, aerosol paint, newspaper clipping, plastic, poly(methyl methacrylate)","contemporary art, pop art","British Council, Art Institute of Chicago, Birmingham Museums Trust, Prints in the National Gallery of Art, Arts Council Collection, Southbank Centre, Metropolitan Museum of Art, Museum of Modern Art, Tate, Museum Boijmans Van Beuningen, National Gallery of Art, Philadelphia Museum of Art, New College, Rosenwald Collection, Museo Nacional Centro de Arte Reina Sofía, National Galleries Scotland, Museum Ludwig, San Francisco Museum of Modern Art, Pallant House Gallery"
Q159566,Cy Twombly,"chalk stick, pencil, chalk, canvas, oil paint, acrylic paint, wove paper, graphite","abstract expressionism, postmodernism","Art Institute of Chicago, Solomon R. Guggenheim Museum, Prints in the National Gallery of Art, http://www.wikidata.org/.well-known/genid/28bb899c8c5dc8f985848852156ea7b0, Metropolitan Museum of Art, Museum of Modern Art, National Museum of Modern Art, Tate, National Gallery of Art, Bavarian State Painting Collections, Stedelijk Museum Amsterdam, Department of Paintings of the Louvre, Museo Nacional Centro de Arte Reina Sofía, Whitney Museum of American Art, Buffalo AKG Art Museum, Art Gallery of New South Wales, Yale University Art Gallery, National Gallery of Kosovo, Corcoran Gallery of Art, San Francisco Museum of Modern Art, Minneapolis Institute of Art, Rhode Island School of Design Museum, Museum Ludwig, Kunsthaus Zürich"
Q159606,John Everett Millais,"panel, canvas, oil paint, watercolor paint, mahogany wood, wash technique, gouache paint, paper, ink, engraving, wood, etching technique, brown ink, laid paper, wove paper, graphite, millboard","Pre-Raphaelite Brotherhood, Symbolism, academic art","Sudley House, National Gallery of Victoria, Birmingham Museums Trust, Auckland Art Gallery Toi o Tāmaki, http://www.wikidata.org/.well-known/genid/73f7d72d1e342a8a879bf6240350dddc, http://www.wikidata.org/.well-known/genid/3725593cfa0c041513c82ab5119596f3, http://www.wikidata.org/.well-known/genid/44052add9473d64c989e45dcd65ff1da, http://www.wikidata.org/.well-known/genid/a8cf2de01922e5a969426a88009cfdd6, http://www.wikidata.org/.well-known/genid/e9d37a87b4aa00c7d5a6112ef3f32c2d, Metropolitan Museum of Art, Ashmolean Museum, Tate, National Gallery, Royal Collection, Musée d'Orsay, Walters Art Museum, National Museum of Western Art, National Portrait Gallery, Winnipeg Art Gallery, Lady Lever Art Gallery, J. Paul Getty Museum, Art Gallery of New South Wales, Royal Holloway, University of London, Yale University Art Gallery, National Galleries Scotland, Fitzwilliam Museum, Kelvingrove Art Gallery and Museum, Walker Art Gallery, Manchester Art Gallery, Tate Britain, Montreal Museum of Fine Arts, Minneapolis Institute of Art, Guildhall Art Gallery, Yale Center for British Art, Andrew Lloyd Webber Collection, Oxford Town Hall, Amgueddfa Cymru – Museum Wales, Perth Art Gallery, Barts Health Archives, Dundee Art Galleries and Museums, Aberdeen Archives, Gallery and Museums, Haden Hill House Museum, The Dick Institute, Bristol City Museum & Art Gallery, http://www.wikidata.org/.well-known/genid/b90a41120346af0ea16ed6c41401a698, http://www.wikidata.org/.well-known/genid/81e00b9df19954eca4f045f0541d0f5b, Calderdale Metropolitan Borough Council, Eton College, Cambridge University Library, Royal Academy of Arts"
Q159907,David Hockney,"canvas, oil paint, acrylic paint, wove paper","contemporary art, hyperrealism, pop art, Nouveau réalisme","Prints in the National Gallery of Art, National Gallery of Art, Art Institute of Chicago, National Gallery of Australia, Thyssen-Bornemisza Museum, National Gallery of Victoria, Stedelijk Museum voor Actuele Kunst, Los Angeles County Museum of Art, http://www.wikidata.org/.well-known/genid/563a3b78ece60b737cbfb134f4141284, http://www.wikidata.org/.well-known/genid/fa4f6fe1a27a04531b849a8fc488361e, Metropolitan Museum of Art, Museum of Modern Art, National Museum of Modern Art, Tate, Benesse, Museum Boijmans Van Beuningen, Bavarian State Painting Collections, National Portrait Gallery, Museum of Fine Arts Boston, Städel Museum, Art Gallery of New South Wales, Smithsonian American Art Museum, National Galleries Scotland, Carnegie Museum of Art, Walker Art Gallery, The Nelson-Atkins Museum of Art, Tate Britain, San Francisco Museum of Modern Art, Rhode Island School of Design Museum, British Council, Bradford Museums and Galleries, Arts Council Collection, Southbank Centre, Cartwright Hall Art Gallery, Vanderbilt Museum of Art, http://www.wikidata.org/.well-known/genid/c42d41f2d011f0657bbd3bd87e7a2553, Royal Academy of Arts, National Museum Cardiff, Royal College of Art, Luna Luna, York Art Gallery, Seattle Art Museum, Museum Ludwig, Manchester Art Gallery, Ferens Art Gallery, Paul G. Allen Collection, Kunsthaus Zürich, Wallraf–Richartz Museum"
Q160115,Ai Weiwei,"Dalbergia odorifera, porcelain, bronze",conceptual art,"Museum of Asian Art, National Gallery of Victoria, Middelheim Museum, Tate, HAM Helsinki Art Museum, De Pont"
Q160350,Walter Womacka,"mosaic, copper sheet, steel, lead, glass, concrete, copper, canvas, vitreous enamel, oil paint, hardstone, ceramic",,"Slovak National Gallery, Neue Nationalgalerie, Staatliche Kunstsammlungen Dresden"
Q160422,Theo van Doesburg,"earthenware, chalk stick, hardboard, gouache paint, panel, pencil, cardboard, paper, ink, pastel, canvas, oil paint, watercolor paint, leadlight, stained glass, asbestos cement, glass, watercolor painting, chalk, plaster, collotype technique, lead, India ink, wove paper","Dada, De Stijl, Expressionism","http://www.wikidata.org/.well-known/genid/fc0762d9fe7a684ec4be37cbe13871e3, http://www.wikidata.org/.well-known/genid/0bf4935020dbe0c01df0ad118a192ea0, http://www.wikidata.org/.well-known/genid/a04fa87e51a37d9f2fb6dee1a27857d7, Centraal Museum, Kunstmuseum Basel, Art Institute of Chicago, Museum of Grenoble, Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Kröller-Müller Museum, Building of the Winterthur Museum of Art, http://www.wikidata.org/.well-known/genid/06fa13b95713d6631cdf52e44a13efa1, http://www.wikidata.org/.well-known/genid/051a99435c9a2d54de3a9a325a7127d5, http://www.wikidata.org/.well-known/genid/4f822e23841c1b1adaaa237d5067de9e, http://www.wikidata.org/.well-known/genid/78492ec8735715382244ad0e10694040, http://www.wikidata.org/.well-known/genid/62690bd546f42b88a1611175e9c00fa2, http://www.wikidata.org/.well-known/genid/2730c19a7150ec0257e24213c9ffa12a, http://www.wikidata.org/.well-known/genid/a696af75e253ac522d57271cc4e9ae3a, http://www.wikidata.org/.well-known/genid/11cd36692106bd4ad2ea658bc2e64a5b, http://www.wikidata.org/.well-known/genid/44402e4078f479c662180cbee8f0a50f, http://www.wikidata.org/.well-known/genid/383cf443a9f64e62c9a64eefed888f8a, http://www.wikidata.org/.well-known/genid/f8fb1a2b19554633930d72edd0cabbaa, http://www.wikidata.org/.well-known/genid/eb061bf94cd81399042dafae1dcc6286, http://www.wikidata.org/.well-known/genid/ca2cfd1279f16ea94fd3931ca9abb70e, http://www.wikidata.org/.well-known/genid/5c93c4165f35df5e6bced2a4a58a5c06, http://www.wikidata.org/.well-known/genid/6590591e574c27c9bd4fab7092f36429, http://www.wikidata.org/.well-known/genid/f37714925bb369fed27502ef500f785c, Museum of Modern Art, National Museum of Modern Art, Tate, Rijksmuseum, Philadelphia Museum of Art, Stedelijk Museum Amsterdam, Kunstmuseum Den Haag, Yale University Art Gallery, Van Abbemuseum, Mildred Lane Kemper Art Museum, Cultural Heritage Agency of the Netherlands Art Collection, Museum of Art in Łódź, Museum De Lakenhal, Portland Art Museum, Peggy Guggenheim Collection, Cincinnati Art Museum, Prints in the National Gallery of Art, http://www.wikidata.org/.well-known/genid/ee67b2d018e6041d3041d6612cce2cbe, http://www.wikidata.org/.well-known/genid/18a0cf0f98562f20cd60b96efb8f131c, http://www.wikidata.org/.well-known/genid/f9005aff0aedf4f7f611464020eb1db2, http://www.wikidata.org/.well-known/genid/b88f5b6ff833acf52e76501b731a8105, http://www.wikidata.org/.well-known/genid/08f7071edf26185402eeb43c0038abd4, http://www.wikidata.org/.well-known/genid/14dd40859af92130bbf8a58cf75addf9"
Q160435,Gerrit Rietveld,wood,"De Stijl, neoplasticism","Kröller-Müller Museum, Museum of Modern Art, Museum Boijmans Van Beuningen, Vitra Design Museum, Centraal Museum"
Q160448,László Moholy-Nagy,"pen, panel, paper, canvas, oil paint, gelatin silver print, India ink, watercolor paint, distemper, paint, wove paper, graphite",constructivism,"Art Institute of Chicago, Busch–Reisinger Museum, Museum of Fine Arts Ghent (MSK), Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Los Angeles County Museum of Art, Prints in the National Gallery of Art, drawings in the National Gallery of Art, Metropolitan Museum of Art, Museum of Modern Art, Toledo Museum of Art, Tate, National Gallery of Art, Bavarian State Painting Collections, National Museum Cardiff, Westphalian State Museum of Art and Cultural History, Detroit Institute of Arts, ""degenerate art"" collection, Städel Museum, Whitney Museum of American Art, Staatliche Kunsthalle Karlsruhe, Institut Valencià d'Art Modern, Buffalo AKG Art Museum, Sprengel Museum, Cleveland Museum of Art, Von der Heydt Museum, Smithsonian American Art Museum, Kunstmuseum Den Haag, Yale University Art Gallery, Kaiser Wilhelm Museum, Van Abbemuseum, National Galleries Scotland, Neue Nationalgalerie, Photographs in the National Gallery of Art, Museum Ludwig, Indianapolis Museum of Art, Kunsthaus Zürich, San Francisco Museum of Modern Art, Harvard Art Museums"
Q160681,William Huggins,,,
Q160780,Henri Michaux,"cardboard, paper, ink, canvas, oil paint, India ink, acrylic paint",,"Musée d'art moderne de Paris, The Jos Knaepen Collection, Stedelijk Museum voor Actuele Kunst, Sainsbury Centre, King Baudouin Foundation, Collection Thomas Neirynck, Institut Valencià d'Art Modern, Seattle Art Museum, Israel Museum, Collectie Vlaamse Gemeenschap, Beaux-Arts Mons"
Q161145,Horace Vernet,"panel, pencil, ink, canvas, oil paint, cardboard, paper","Romanticism, Orientalist painting, academic art","Calvet Museum, Museum of Fine Arts Ghent (MSK), Fine Arts Museums of San Francisco, Los Angeles County Museum of Art, Musée Blanche Hoschedé-Monet, Hermitage Museum, Metropolitan Museum of Art, National Museum in Warsaw, Amsterdam Museum, National Museum of Fine Arts, Palace of Versailles, National Gallery, Rijksmuseum, Royal Collection, National Gallery of Art, Alte Nationalgalerie, Walters Art Museum, Musée Rolin, Department of Paintings of the Louvre, Museum of the History of France, Museum of Fine Arts Boston, Kunsthalle Bremen, National Museum of Art, Architecture and Design, Polish Library in Paris, Cantonal Museum of Fine Arts, Cleveland Museum of Art, National Gallery of Canada, Museum of Fine Arts, Houston, National Gallery of Armenia, National Museum of Fine Arts of Cuba, Latvian Museum of Foreign Art, Princeton University Art Museum, Sheffield Galleries and Museums Trust, Musée des Beaux-Arts de Caen, musée des Beaux-Arts de Valence, Prints in the National Gallery of Art, Raclin Murphy Museum of Art, http://www.wikidata.org/.well-known/genid/d02272e7b5aa96546eda0e5223947d6e, http://www.wikidata.org/.well-known/genid/34aab66ee7bf56788ea375456c5f3fec, Toledo Museum of Art, Musées Nationaux Récupération, Welsh Portrait Collection, The Wallace Collection, Nationalmuseum, Musée Nissim de Camondo, Rosenwald Collection, Museum der bildenden Künste, Palais des Beaux-Arts de Lille, Hamburger Kunsthalle, Condé Museum"
Q161955,André Breton,"cardboard, glass, paper, cork, pastel, mirror",surrealism,"Musée Cantini, Cleveland Museum of Art, Israel Museum"
Q162113,Akira Miyoshi,,,
Q164351,Gerhard Richter,"panel, stainless steel, steel, glass, paper, varnish, wood, sheet glass, canvas, oil paint, India ink, lacquer, Deutsche Amphibolin-Werke SE, broad sheet glass, aluminum, gelatin silver print, resin, plastic, newspaper, string, nail","capitalist realism, contemporary art, New European Painting","Gerhard Richter Archiv, Stedelijk Museum voor Actuele Kunst, Carré d'art - musée d'art contemporain, Sammlung Böckmann, Belvedere, Tate, Niedersächsische Sparkassenstiftung, Museum Boijmans Van Beuningen, Lenbachhaus, Westphalian State Museum of Art and Cultural History, Museum Frieder Burda, Sprengel Museum, Kunstsammlung Nordrhein-Westfalen, Mu.ZEE - Kunstmuseum aan Zee, Museum Ludwig, Neues Museum Nürnberg, Hirshhorn Museum and Sculpture Garden, Staatliche Kunstsammlungen Dresden, Kunsthaus Zürich, Wallraf–Richartz Museum, Art Institute of Chicago, Solomon R. Guggenheim Museum, National Gallery of Victoria, Los Angeles County Museum of Art, Society for the Museum of Contemporary Art, http://www.wikidata.org/.well-known/genid/d7431df9047a414ddfe492194fa1e45a, http://www.wikidata.org/.well-known/genid/4f91ae158d9da27c6786885300f24ba8, http://www.wikidata.org/.well-known/genid/5f984b4daf997787044a50f561d324e7, Metropolitan Museum of Art, Dallas Museum of Art, Museum of Modern Art, National Gallery of Art, Philadelphia Museum of Art, Statens Museum for Kunst, Museum of Fine Arts Boston, Museo Nacional Centro de Arte Reina Sofía, Art Gallery of New South Wales, Museum of Fine Arts, Houston, Van Abbemuseum, National Galleries Scotland, Cultural Heritage Agency of the Netherlands Art Collection, De Pont, National Gallery of Australia, Musée d'art moderne de Paris, Busch–Reisinger Museum, Vanderbilt Museum of Art, http://www.wikidata.org/.well-known/genid/bfffb6661cf2774424b80933188751bf, http://www.wikidata.org/.well-known/genid/e538eab55ef273144c1bfc235b9534a1, National Museum of Modern Art, Lidice Memorial"
Q164358,Robert Rauschenberg,"chromogenic print, gelatin silver print, wove paper, tantalum nitride, Screen Printing Ink, metal, cable, rope, pencil, steel, fiberglass, neon lighting, button, cardboard, paper, ink, mirror, silk, granite, copper, bay mud, wood, Bald Eagle, bronze, canvas, oil paint, clay, ceramic, screen printing, lapis lazuli","modern art, Neo-Dada, contemporary art, postmodernism, pop art","National Gallery of Art, Photographs in the National Gallery of Art, Prints in the National Gallery of Art, Rosenwald Collection, Detroit Institute of Arts, Whitney Museum of American Art, The Nelson-Atkins Museum of Art, Israel Museum, collection of the Musée d’art contemporain de Montréal, Princeton University Art Museum, Crystal Bridges Museum of American Art, Vanderbilt Museum of Art, Metropolitan Museum of Art, Dallas Museum of Art, Hamburger Bahnhof, Toledo Museum of Art, Buffalo AKG Art Museum, Knecht-Drenth Collection, Smithsonian American Art Museum, Mildred Lane Kemper Art Museum, Seattle Art Museum, Museum Ludwig, Steven Leiber Audio Collection 1959–2010, Kunsthaus Zürich, Wallraf–Richartz Museum, San Francisco Museum of Modern Art, Minneapolis Institute of Art, Art Institute of Chicago, National Gallery of Australia, Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Los Angeles County Museum of Art, Museum of Modern Art, Tate, Philadelphia Museum of Art, Bavarian State Painting Collections, Stedelijk Museum Amsterdam, Cleveland Museum of Art, Museum of Fine Arts, Houston, Yale University Art Gallery, Finnish National Gallery, Sculptures in the National Gallery of Art"
Q165282,Jules Duboscq,,,
Q166405,Jean Rouch,,,
Q166477,Matthias Hoch,,,
Q166485,Fritz Kühn,"metal, copper sheet, steel, iron, gold, natural stone, concrete, copper, bronze, sandstone, artificial stone",,
Q167892,Zazie,,,
Q168060,Zbigniew Dłubak,"canvas, oil paint, acrylic paint",,"National Museum in Warsaw, Zbigniew Dłubak Collection at Archeology of Photography Foundation"
Q168359,Jean Marais,,,Musée Jean-Gabin
Q168587,Sol LeWitt,"pen, gouache paint, wall, ink, mortar, canvas, oil paint, gelatin silver print, India ink, acrylic paint, wove paper, graphite, Q2605685, steel, paper, paver, aluminum, balsa, slate, vitreous enamel, concrete block, travertine, paint, mixed media","minimalism, contemporary art, conceptual art","Prints in the National Gallery of Art, National Gallery of Art, Lenbachhaus, Art Institute of Chicago, National Gallery of Australia, Virginia Museum of Fine Arts, Stedelijk Museum voor Actuele Kunst, Society for the Museum of Contemporary Art, Schiphol art collection, drawings in the National Gallery of Art, Metropolitan Museum of Art, Museum of Modern Art, National Gallery of Art Sculpture Garden, Museum Boijmans Van Beuningen, Philadelphia Museum of Art, Stedelijk Museum Amsterdam, Museum of Fine Arts Boston, Cleveland Museum of Art, Art Gallery of New South Wales, National Gallery of Canada, Kunstmuseum Den Haag, Yale University Art Gallery, National Galleries Scotland, Photographs in the National Gallery of Art, Indianapolis Museum of Art, Wallonia-Brussels Federation Museum of Contemporary Arts, Sculptures in the National Gallery of Art, San Francisco Museum of Modern Art, Museum of Grenoble, Princeton University Art Museum, Kröller-Müller Museum, MTA Arts & Design Permanent Art Collection, Syracuse University Art Museum, Vanderbilt Museum of Art, public art of Syracuse University, Toledo Museum of Art, Bonnefanten Museum, New Britain Museum of American Art, Knecht-Drenth Collection, Sprengel Museum, Smithsonian American Art Museum, Mu.ZEE - Kunstmuseum aan Zee, Israel Museum, Museum Ludwig"
Q168665,Bruce Nauman,"metal, video, transformer, neon lighting, paper, box, aluminum, concrete, drypoint technique, wire, electrical cable, neon lamp, gelatin silver print, wax, etching technique, glass tube, wove paper","postminimalism, conceptual art","Stedelijk Museum voor Actuele Kunst, Middelheim Museum, Society for the Museum of Contemporary Art, Prints in the National Gallery of Art, Tate Modern, Museum of Modern Art, National Museum of Modern Art, Tate, Museum Boijmans Van Beuningen, National Gallery of Art, Bavarian State Painting Collections, Institut Valencià d'Art Modern, Mu.ZEE - Kunstmuseum aan Zee, Photographs in the National Gallery of Art, Collectie Vlaamse Gemeenschap, Sculptures in the National Gallery of Art, Kunsthaus Zürich, Staatsgalerie Stuttgart, Hamburger Kunsthalle"
Q168671,John Heartfield,,Dada,"Metropolitan Museum of Art, Institut Valencià d'Art Modern"
Q168758,Erazm Ciołek,,,Erazm Ciołek Papers at the Hoover Institution
Q169050,Zdeněk Podhůrský,,,
Q169246,Zdzisław Beksiński,,,"National Museum in Warsaw, National Museum in Kraków"
Q170071,Josef Albers,"hardboard, Q1432493, pen, panel, stainless steel, paper, ink, aluminum, wood, canvas, oil paint, high-quality steel, India ink, composition board, masonite, wove paper","abstract art, op art","National Gallery of Australia, The Jos Knaepen Collection, Museum of Fine Arts, Budapest, Prints in the National Gallery of Art, drawings in the National Gallery of Art, King Baudouin Foundation, National Gallery of Art, Rosenwald Collection, Detroit Institute of Arts, Städel Museum, Hungarian National Gallery, Whitney Museum of American Art, Cleveland Museum of Art, National Gallery of Canada, Smithsonian American Art Museum, The Nelson-Atkins Museum of Art, San Francisco Museum of Modern Art, Rhode Island School of Design Museum, Art Institute of Chicago, Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Kröller-Müller Museum, National Gallery of Victoria, Los Angeles County Museum of Art, Metropolitan Museum of Art, Museum of Modern Art, Tate, Museum Boijmans Van Beuningen, Philadelphia Museum of Art, Bavarian State Painting Collections, Stedelijk Museum Amsterdam, Museum of Fine Arts Boston, The Phillips Collection, Art Gallery of New South Wales, Museum of Fine Arts, Houston, National Galleries Scotland, Fralin Museum of Art, Corcoran Gallery of Art, Carnegie Museum of Art, Indianapolis Museum of Art, Dallas Museum of Art, Toledo Museum of Art, Lenbachhaus, Buffalo AKG Art Museum, Seattle Art Museum, Israel Museum, Saint Louis Art Museum, Yale University Art Gallery, Cincinnati Art Museum, Busch–Reisinger Museum"
Q170344,Anselm Kiefer,"straw, gouache paint, photographic paper, plant, lead, glass, paper, charcoal, varnish, sand, canvas, oil paint, watercolor paint, clay, emulsion, shellac, mixed media, acrylic paint, hessian",neo-expressionism,"Art Institute of Chicago, HangarBicocca, Solomon R. Guggenheim Museum, Kröller-Müller Museum, National Gallery of Victoria, Metropolitan Museum of Art, Museum of Modern Art, Tate, Museum Boijmans Van Beuningen, National Gallery of Art, Philadelphia Museum of Art, Bavarian State Painting Collections, Stedelijk Museum Amsterdam, Department of Paintings of the Louvre, Museum of Fine Arts Boston, Museo Nacional Centro de Arte Reina Sofía, The Phillips Collection, Groninger Museum, Museum of Fine Arts, Houston, Yale University Art Gallery, Van Abbemuseum, National Galleries Scotland, Carnegie Museum of Art, Finnish National Gallery, San Francisco Museum of Modern Art, Cincinnati Art Museum, National Gallery of Australia, Beyeler Foundation, Q53996554, Dallas Museum of Art, Hamburger Bahnhof, Toledo Museum of Art, Detroit Institute of Arts, Städel Museum, Museum Frieder Burda, Buffalo AKG Art Museum, Cleveland Museum of Art, Seattle Art Museum, Israel Museum, Museum Ludwig, Saint Louis Art Museum, The Nelson-Atkins Museum of Art, Sculptures in the National Gallery of Art, Kunsthaus Zürich"
Q171363,Viggo Mortensen,,,
Q172117,Leslie Marr,"canvas, oil paint",,Imperial College Healthcare Charity
Q172506,Jonathan Williams,,,
Q172885,Lewis Morris Rutherfurd,albumen print,,"National Gallery of Art, Photographs in the National Gallery of Art"
Q173223,Mary Cassatt,"gouache paint, paper, ink, pastel, canvas, oil paint, black chalk, chine collé, wove paper, graphite, panel, charcoal, watercolor paint, laid paper",impressionism,"Prints in the National Gallery of Art, drawings in the National Gallery of Art, http://www.wikidata.org/.well-known/genid/6b180128e92e19f557a31500d68d127c, http://www.wikidata.org/.well-known/genid/af90a902bad286f9fc66689c8b49443c, National Gallery of Art, Rosenwald Collection, Dayton Art Institute, http://www.wikidata.org/.well-known/genid/689e1a73ea232e74dd6f19096cb04adc, Museum Langmatt Sidney and Jenny Brown Foundation, Chrysler Museum of Art, Musée d'Orsay, Calouste Gulbenkian Museum, National Museum of Serbia, Santa Barbara Museum of Art, Art Institute of Chicago, Cooper Hewitt, Smithsonian Design Museum, Virginia Museum of Fine Arts, Fine Arts Museums of San Francisco, Los Angeles County Museum of Art, http://www.wikidata.org/.well-known/genid/58a21a79652fba0e9469bb341f51bacb, http://www.wikidata.org/.well-known/genid/4491e1077cb157a97716c1c8884c5e0d, http://www.wikidata.org/.well-known/genid/77e644a99fb51ff95a50029a4f81abbe, Metropolitan Museum of Art, Brooklyn Museum, Birmingham Museum of Art, Pennsylvania Academy of the Fine Arts, Philadelphia Museum of Art, Hammer Museum, Musée des Beaux-Arts de Bordeaux, National Portrait Gallery, Detroit Institute of Arts, Museum of Fine Arts Boston, Cleveland Museum of Art, Barnes Foundation, Smithsonian American Art Museum, Museum of Fine Arts, Houston, Corcoran Gallery of Art, Worcester Art Museum, Carnegie Museum of Art, The Nelson-Atkins Museum of Art, Bilbao Fine Arts Museum, Rhode Island School of Design Museum, Cincinnati Art Museum, Artizon Museum, Clark Art Institute, Princeton University Art Museum, Speed Art Museum, Gilcrease Museum, Musée des Beaux-Arts de la ville de Paris, Baltimore Museum of Art"
Q173585,Jessica Lange,,,
Q174843,Jeff Bridges,,,
Q175669,Stijn Streuvels,,,
Q175913,Kristina Söderbaum,,,
Q176680,Artur Nikodem,watercolor paint,,"Q122900048, http://www.wikidata.org/.well-known/genid/b5bdb1d4743b0066639fdc2253565e48, http://www.wikidata.org/.well-known/genid/086dbd99de4da98eab30947d70b6199d, ""degenerate art"" collection"
Q177993,Hiam Abbass,,,
Q178040,Ray Johnson,paper,"Mail-Art, Fluxus, pop art","Metropolitan Museum of Art, Museum of Modern Art, National Gallery of Art, Detroit Institute of Arts, Whitney Museum of American Art, Smithsonian American Art Museum, Sculptures in the National Gallery of Art"
Q178065,Centre Georges Pompidou,,,
Q178115,Robert L. Surtees,,,
Q178954,Istituto geografico militare,,,
Q179303,Jürgen Klauke,,,
Q180740,Zhang Huan,"photographic paper, steel, copper, paint",conceptual art,"Stedelijk Museum voor Actuele Kunst, Los Angeles County Museum of Art, National Museum of Modern Art, The Walther Collection, Israel Museum"
Q180931,Felice Varini,acrylic paint,,"Museum of Fine Arts of Nancy, Centre national des arts plastiques"
Q182031,Jack Kilby,,,
Q182847,Jean Baudrillard,,"Post-structuralism, degrowth, Western philosophy",
Q182882,John James Audubon,"pen, gouache paint, black chalk, paper, canvas, oil paint, India ink, watercolor paint, graphite",Naturalism,"Speed Art Museum, Gilcrease Museum, Arizona State University Art Museum, Crystal Bridges Museum of American Art, Prints in the National Gallery of Art, Vanderbilt Museum of Art, drawings in the National Gallery of Art, National Gallery of Art, Victoria Gallery & Museum, Cleveland Museum of Art, Smithsonian American Art Museum, Milwaukee Art Museum, Fogg Museum, Cincinnati Art Museum, Harvard Art Museums"
Q183713,Théophile Gautier,"canvas, oil paint","parnassianism, Romanticism",Maison de Balzac
Q184366,Thomas Henry Huxley,,,
Q184992,Bronisław Malinowski,,,
Q185211,Manuel Rivera-Ortiz,,,
Q185755,Larry Birkhead,,,
Q186123,Francis Fukuyama,,,
Q186273,Kōbō Abe,,,
Q187850,Mathew Benjamin Brady,,,"Metropolitan Museum of Art, Cleveland Museum of Art, Library of Congress Prints and Photographs Division"
Q188176,William S. Burroughs,,Beat Generation,"Prints in the National Gallery of Art, Vanderbilt Museum of Art, National Gallery of Art"
Q189080,Lou Reed,,,
Q189147,George Eastman,,,
Q189552,William Crookes,,,
Q190568,Eadweard Muybridge,albumen print,,"National Gallery of Art, Cleveland Museum of Art, Photographs in the National Gallery of Art"
Q191026,Francis Galton,,,
Q197464,Zhao Xiaoding,,,
Q197608,Zheng Guogu,,,
Q198531,Serge de Sazo,,,
Q200622,Luc Tuymans,"lithographic ink, talc, gouache paint, photographic paper, dye, cotton, cardboard, glass, paper, wood, canvas, composite material, oil paint, printing ink, poly(methyl methacrylate), paint, wove paper",contemporary art,"Art Institute of Chicago, Solomon R. Guggenheim Museum, Stedelijk Museum voor Actuele Kunst, Los Angeles County Museum of Art, Society for the Museum of Contemporary Art, Dallas Museum of Art, Museum of Modern Art, National Gallery of Art, Stedelijk Museum Amsterdam, Mu.ZEE - Kunstmuseum aan Zee, Collectie Vlaamse Gemeenschap, De Pont, http://www.wikidata.org/.well-known/genid/b3813740c6b823b253ef67fcd4b4eaa1, King Baudouin Foundation, Tate, Museum Boijmans Van Beuningen, Bavarian State Painting Collections, Bonnefanten Museum, M HKA - Museum van Hedendaagse Kunst Antwerpen, Buffalo AKG Art Museum, Israel Museum, Carnegie Museum of Art, Nantes Museum of Arts, Wallonia-Brussels Federation Museum of Contemporary Arts, Staatliche Kunstsammlungen Dresden, San Francisco Museum of Modern Art"
Q200661,Juan Rulfo,,,
Q200890,Vivian Maier,,,
Q201739,Mary McCartney,,,
Q202250,Alan Villiers,,,
Q202497,Benjamin Mountfort,,,
Q202809,Frederick Coombs,,,
Q203623,Mário de Andrade,,,
Q204393,Linda Fiorentino,,,
Q204493,Farm Security Administration,,,
Q204999,Edward Emerson Barnard,,,
Q205721,Joni Mitchell,,,
Q206087,Jaroslav Fragner,"stone, bronze",,
Q206524,Marthe Donas,"canvas, oil paint",abstract art,"Royal Museum of Fine Arts Antwerp, ""degenerate art"" collection, Yale University Art Gallery"
Q206747,Ziv Koren,,,
