id,name,mediums,styles,galleries_exhibits
Q152788,Emil Nolde,"top color, plywood sheet, paintbrush, paper, canvas, oil paint, India ink, watercolor paint, washi, laid paper, construction paper, Japanese tissue, panel, wove paper, pen, brown ink","Die Brücke, Expressionism, degenerate art","Museum Folkwang, National Museum of Modern Art, Albertina, Brücke Museum, Sprengel Museum, Museum Ludwig, Lehmbruck Museum, Kunsthaus Zürich, Wallraf–Richartz Museum, Batliner Collection, Busch–Reisinger Museum, Princeton University Art Museum, Prints in the National Gallery of Art, Hessian State Museum Darmstadt, Kunstmuseum Mülheim an der Ruhr, Vanderbilt Museum of Art, Kunstsammlungen der Stadt Düsseldorf, Buchheim Museum of Imagination, Q1792617, Metropolitan Museum of Art, Kunsthalle Mannheim, Angermuseum, National Gallery of Art, Statens Museum for Kunst, National Gallery of Ireland, National Museum in Szczecin, ""degenerate art"" collection, Museum der bildenden Künste, Staatliche Kunsthalle Karlsruhe, Buffalo AKG Art Museum, Hamburger Kunsthalle, Gemäldegalerie Alte Meister, Ulmer Museum, Georgia Museum of Art, Neue Nationalgalerie, Kunstsammlung Jena, Saint Louis Art Museum, Museumsberg Flensburg, Niedersächsisches Landesmuseum für Kunst und Kulturgeschichte, Nolde Museum Seebüll, Harvard Art Museums, Art Institute of Chicago, Virginia Museum of Fine Arts, Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Los Angeles County Museum of Art, drawings in the National Gallery of Art, Brooklyn Museum, Museum of Modern Art, Tate"
Q152797,Umberto Boccioni,"gouache paint, panel, iron, cardboard, paper, copper, wood, gypsum, bronze, canvas, tempera, oil paint, wove paper","futurism, Cubism, Filippinism","Museum of Modern and Contemporary Art of Trento and Rovereto, MASI Lugano, Pinacoteca di Brera, Thyssen-Bornemisza Museum, Solomon R. Guggenheim Museum, Kröller-Müller Museum, Mattioli Collection, Prints in the National Gallery of Art, Barilla Group, Galleria nazionale di Cosenza, Gallerie d'Italia - Milano, Galleria Nazionale d'Arte Moderna e Contemporanea di Roma, http://www.wikidata.org/.well-known/genid/2cb3af18b0af936479f872c791fce09b, http://www.wikidata.org/.well-known/genid/eb34ab69da909a75d5ec5ac8a7da7b9a, Metropolitan Museum of Art, Museum of Modern Art, National Museum of Modern Art, Estorick Collection of Modern Italian Art, National Gallery of Art, Bavarian State Painting Collections, Nakanoshima Museum of Art, Osaka, Museo del Novecento, Sprengel Museum, Von der Heydt Museum, Israel Museum, Kunsthaus Zürich, Peggy Guggenheim Collection, Galleria d'arte moderna Ricci Oddi"
Q152812,Spencer Tunick,human,,
Q153048,Constantin Brâncuși,"marble, limestone, wood, bronze, oakwood, wove paper","abstract art, Tinerimea artistică, Official Salon of Painting and Sculpture, modernism, Catalan modernism, classicism, academic art","drawings in the National Gallery of Art, Metropolitan Museum of Art, Museum of Modern Art, National Museum of Modern Art, National Gallery of Art, Philadelphia Museum of Art, Sculptures in the National Gallery of Art, San Francisco Museum of Modern Art"
Q153099,"Sophie, Duchess of Hohenberg",,,
Q153153,Simone Renant,,,
Q153497,Jan Czekanowski,,,
Q153739,Jean Arp,"Q6742288, plywood, panel, stainless steel, lead, cardboard, collage, glass, paper, ink, charcoal, marble, aluminum, concrete, plaster, bronze casting, wood, gypsum, bronze, canvas, oil paint, porphyry, brass, graphite","Dada, De Stijl, surrealism","Ny Carlsberg Glyptotek, Museum of Fine Arts Ghent (MSK), Solomon R. Guggenheim Museum, Germanisches Nationalmuseum, Kröller-Müller Museum, Middelheim Museum, Prints in the National Gallery of Art, Sculpture museum of Glaskasten, Vanderbilt Museum of Art, Metropolitan Museum of Art, Museum of Modern Art, National Museum of Modern Art, Museum Boijmans Van Beuningen, National Gallery of Art, Musée des beaux-arts de Liège, Strasbourg Museum of Modern and Contemporary Art, Municipal Fund for Contemporary Art Geneva, Rosenwald Collection, Städel Museum, Institut Valencià d'Art Modern, Knecht-Drenth Collection, Cleveland Museum of Art, Kunstmuseum Den Haag, Museum of Fine Arts, Houston, Yale University Art Gallery, Neue Nationalgalerie, Israel Museum, Carnegie Museum of Art, Sculptures in the National Gallery of Art, Sparebankstiftelsen DNB’s collection, San Francisco Museum of Modern Art, Rhode Island School of Design Museum, Musée d'art moderne de Paris, Staatsgalerie Stuttgart, Arp foundation, Sprengel Museum, Museum Ludwig"
Q153890,Niko Tinbergen,,,
Q153965,Joseph Beuys,"metal, bottle, fat, pen, gouache paint, slag, pencil, gold, tree, safe, sled, paper, box, hare, sewing pin, granite, nail, wire, pearl, wood, felt, oil paint, power cable, gelatin silver print, India ink, gemstone, clay, screen printing, Volkswagen Type 3, foam rubber","Fluxus, land art","Solomon R. Guggenheim Museum, Kröller-Müller Museum, Stedelijk Museum voor Actuele Kunst, Hessen Kassel Heritage, Museum of Modern Art, Hamburger Bahnhof, National Museum of Modern Art, Tate, Museum Boijmans Van Beuningen, Statens Museum for Kunst, CaixaForum Barcelona, Kunstsammlung Nordrhein-Westfalen, National Galleries Scotland, National Gallery of Australia, Prints in the National Gallery of Art, drawings in the National Gallery of Art, National Gallery of Art, Bavarian State Painting Collections, Scottish National Gallery, Knecht-Drenth Collection, Mu.ZEE - Kunstmuseum aan Zee, Media Arts in the National Gallery of Art, Photographs in the National Gallery of Art, Sculptures in the National Gallery of Art, Kunsthaus Zürich, Staatsgalerie Stuttgart, Luna Luna, Museum Ludwig, Wallraf–Richartz Museum"
